TCMD,FRTCM,FREQ
-4.655314474,-7.484207635,1
-4.655314474,-7.484207635,1
-4.614117001,-7.484207635,1
-4.682779456,-7.552870091,1
-4.696511947,-7.552870091,1
-4.723976929,-7.552870091,1
-4.682779456,-7.552870091,1
-4.778906894,-7.621532546,1
-4.696511947,-7.621532546,1
-4.778906894,-7.621532546,1
-4.792639385,-7.621532546,1
-4.847569349,-7.690195001,1
-4.820104367,-7.690195001,1
-4.820104367,-7.690195001,1
-4.847569349,-7.690195001,1
-4.902499313,-7.758857457,1
-4.957429278,-7.758857457,1
-4.916231804,-7.758857457,1
-4.929964296,-7.827519912,1
-4.916231804,-7.827519912,1
-4.943696787,-7.827519912,1
-4.943696787,-7.827519912,1
-4.957429278,-7.896182367,1
-5.012359242,-7.896182367,1
-5.053556715,-7.896182367,1
-5.053556715,-7.896182367,1
-5.039824224,-7.964844823,1
-5.053556715,-7.964844823,1
-5.094754188,-7.964844823,1
-5.067289206,-7.964844823,1
-5.094754188,-8.033507278,1
-5.135951662,-8.033507278,1
-5.149684153,-8.033507278,1
-5.163416644,-8.033507278,1
-5.135951662,-8.102169734,1
-5.177149135,-8.102169734,1
-5.232079099,-8.102169734,1
-5.218346608,-8.102169734,1
-5.149684153,-8.170832189,1
-5.287009063,-8.170832189,1
-5.24581159,-8.170832189,1
-5.273276572,-8.170832189,1
-5.300741555,-8.239494644,1
-5.314474046,-8.239494644,1
-5.410601483,-8.239494644,1
-5.36940401,-8.239494644,1
-5.36940401,-8.3081571,1
-5.438066465,-8.3081571,1
-5.424333974,-8.3081571,1
-5.410601483,-8.3081571,1
-5.424333974,-8.376819555,1
-5.465531447,-8.376819555,1
-5.520461412,-8.376819555,1
-5.479263938,-8.376819555,1
-5.438066465,-8.44548201,1
-5.602856358,-8.44548201,1
-5.561658885,-8.44548201,1
-5.520461412,-8.44548201,1
-5.547926394,-8.500411975,1
-5.561658885,-8.500411975,1
-5.657786322,-8.500411975,1
-5.63032134,-8.56907443,1
-5.534193903,-8.56907443,1
-5.712716287,-8.56907443,1
-5.644053831,-8.56907443,1
-5.657786322,-8.637736885,1
-5.712716287,-8.637736885,1
-5.726448778,-8.637736885,1
-5.75391376,-8.637736885,1
-5.712716287,-8.706399341,1
-5.685251305,-8.706399341,1
-5.808843724,-8.706399341,1
-5.75391376,-8.706399341,1
-5.822576215,-8.775061796,1
-5.822576215,-8.775061796,1
-5.836308706,-8.775061796,1
-5.904971162,-8.775061796,1
-5.850041197,-8.829991761,1
-5.850041197,-8.829991761,1
-6.001098599,-8.829991761,1
-5.87750618,-8.829991761,1
-5.891238671,-8.898654216,1
-5.891238671,-8.898654216,1
-5.959901126,-8.898654216,1
-5.946168635,-8.898654216,1
-5.918703653,-8.967316671,1
-5.987366108,-8.967316671,1
-6.042296073,-8.967316671,1
-6.01483109,-8.967316671,1
-5.973633617,-9.022246636,1
-5.973633617,-9.022246636,1
-6.042296073,-9.022246636,1
-6.069761055,-9.022246636,1
-6.028563581,-9.090909091,1
-6.042296073,-9.090909091,1
-6.193353474,-9.090909091,1
-6.110958528,-9.090909091,1
-6.179620983,-9.145839055,1
-6.152156001,-9.145839055,1
-6.13842351,-9.145839055,1
-6.248283439,-9.145839055,1
-6.165888492,-9.214501511,1
-6.152156001,-9.214501511,1
-6.26201593,-9.214501511,1
-6.234550948,-9.283163966,1
-6.220818456,-9.283163966,1
-6.26201593,-9.283163966,1
-6.303213403,-9.283163966,1
-6.358143367,-9.33809393,1
-6.26201593,-9.33809393,1
-6.316945894,-9.33809393,1
-6.426805823,-9.33809393,1
-6.371875858,-9.406756386,1
-6.413073332,-9.406756386,1
-6.39934084,-9.406756386,1
-6.481735787,-9.406756386,1
-6.495468278,-9.46168635,1
-6.440538314,-9.46168635,1
-6.550398242,-9.46168635,1
-6.577863224,-9.46168635,1
-6.536665751,-9.516616314,1
-6.577863224,-9.516616314,1
-6.550398242,-9.516616314,1
-6.564130733,-9.516616314,1
-6.619060698,-9.58527877,1
-6.564130733,-9.58527877,1
-6.619060698,-9.58527877,1
-6.687723153,-9.58527877,1
-6.673990662,-9.640208734,1
-6.673990662,-9.640208734,1
-6.687723153,-9.640208734,1
-6.715188135,-9.640208734,1
-6.715188135,-9.708871189,1
-6.715188135,-9.708871189,1
-6.770118099,-9.708871189,1
-6.756385608,-9.708871189,1
-6.78385059,-9.763801154,1
-6.797583082,-9.763801154,1
-6.756385608,-9.763801154,1
-6.866245537,-9.763801154,1
-6.825048064,-9.818731118,1
-6.78385059,-9.818731118,1
-6.852513046,-9.818731118,1
-6.879978028,-9.873661082,1
-6.90744301,-9.873661082,1
-6.921175501,-9.873661082,1
-6.893710519,-9.873661082,1
-6.948640483,-9.942323537,1
-6.934907992,-9.942323537,1
-6.962372974,-9.942323537,1
-6.962372974,-9.942323537,1
-6.962372974,-9.997253502,1
-7.003570448,-9.997253502,1
-6.962372974,-9.997253502,1
-6.976105466,-9.997253502,1
-7.044767921,-10.05218347,1
-7.003570448,-10.05218347,1
-7.044767921,-10.05218347,1
-7.017302939,-10.05218347,1
-7.058500412,-10.10711343,1
-7.127162867,-10.10711343,1
-7.113430376,-10.10711343,1
-7.113430376,-10.10711343,1
-7.113430376,-10.16204339,1
-7.113430376,-10.16204339,1
-7.195825323,-10.16204339,1
-7.099697885,-10.16204339,1
-7.223290305,-10.21697336,1
-7.195825323,-10.21697336,1
-7.168360341,-10.21697336,1
-7.223290305,-10.21697336,1
-7.278220269,-10.28563581,1
-7.250755287,-10.28563581,1
-7.29195276,-10.28563581,1
-7.250755287,-10.28563581,1
-7.305685251,-10.34056578,1
-7.333150233,-10.34056578,1
-7.333150233,-10.34056578,1
-7.333150233,-10.34056578,1
-7.388080198,-10.39549574,1
-7.360615216,-10.39549574,1
-7.401812689,-10.39549574,1
-7.41554518,-10.39549574,1
-7.456742653,-10.45042571,1
-7.456742653,-10.45042571,1
-7.456742653,-10.45042571,1
-7.456742653,-10.50535567,1
-7.525405108,-10.50535567,1
-7.525405108,-10.50535567,1
-7.552870091,-10.50535567,1
-7.525405108,-10.56028564,1
-7.621532546,-10.56028564,1
-7.607800055,-10.56028564,1
